0
team      round score goal  fan
firenze   14    32    26    108
marsiglia 14    22    26    98
milano    14    20    24    94
turino    14    20    22    92
genoa     14    17    19    86
tunisia   14    17    18    85
venezia   14    16    19    85
bologna   14    10    15    75
name           goal   team
keegan         6      milano
bergkemp       5      firenze
ronaldo        4      milano
rivera         4      turino
careca         4      turino
donadoni       4      turino
zico           4      venezia
socrates       4      venezia
zidane         4      marsiglia
matthaeus      4      marsiglia
name           assist team
desaily        7      marsiglia
p.rossi        6      firenze
keegan         5      milano
hurst          5      milano
daglish        4      genoa
beckenbauer    4      tunisia
garrincha      4      venezia
vieri          4      bologna
r.baggio       4      venezia
cabrini        4      firenze
name           score  team
kopa           65      bologna
g.muller       64      turino
keegan         64      milano
rivera         63      turino
raul           62      turino
careca         62      turino
donadoni       61      turino
ronaldo        61      milano
garrincha      61      venezia
b.chalton      61      bologna
bierhoff       66      milano
r.keane        66      marsiglia
g.weah         65      venezia
b.chalton      65      bologna
player       goal assist score
schmeichel     0     0     6.2

maradona       3     4     6.5

beckham        1     1     6.5

klinsman       1     0     6.300000000000001

didi           2     3     6.9

brehme         1     0     6.300000000000001

batistuta      2     1     6.4

cabrini        1     1     6.300000000000001

p.rossi        1     0     6.0

neeskens       0     1     6.2

bergkemp       2     3     6.300000000000001

score 15 goal 14 number of fans 83
zenga          0     0     6.1000000000000005

platini        1     0     6.0

nedved         2     1     6.5

zidane         2     6     6.800000000000001

ballack        4     4     6.4

matthaeus      3     2     6.5

hagi           2     0     6.4

desaily        2     3     6.300000000000001

h.shanchez     3     4     6.5

maldini        2     1     6.300000000000001

r.keane        3     3     6.6000000000000005

score 26 goal 24 number of fans 99
kahn           0     0     6.1000000000000005

cantona        2     2     6.4

ronaldo        2     2     6.1000000000000005

rijkaard       1     3     6.2

facchetti      0     1     6.2

rivera         0     1     6.1000000000000005

keegan         1     0     6.0

bierhoff       1     1     6.6000000000000005

hurst          2     3     6.5

kaka           3     1     6.2

blanc          6     4     6.5

score 17 goal 18 number of fans 82
buffon         0     0     6.1000000000000005

eusebio        3     2     6.4

papin          4     4     6.5

raul           1     1     6.300000000000001

g.muller       7     5     6.7

henry          2     0     6.5

careca         3     2     6.5

conti          1     4     6.4

gascoigne      3     1     6.5

donadoni       0     4     6.2

cassano        1     2     6.4

score 22 goal 25 number of fans 93
zoff           0     0     6.0

gullit         1     4     6.2

puskas         1     1     6.300000000000001

b.moore        2     4     6.4

baresi         1     0     6.4

owen           1     2     6.300000000000001

p.falcao       0     0     6.0

stoichkov      1     2     6.5

shevchenko     3     1     6.4

deisler        2     1     6.5

stam           3     0     6.300000000000001

score 10 goal 15 number of fans 68
yashin         0     0     6.300000000000001

beckenbauer    2     2     6.6000000000000005

ronaldinho     1     4     6.5

r.koeman       1     2     6.2

tostao         1     1     6.300000000000001

rensenbrink    2     4     6.5

m.laudrup      3     2     6.5

crespo         3     4     6.300000000000001

v.nistelrooy   3     1     6.4

lampard        3     1     6.5

pele           4     2     6.5

score 27 goal 23 number of fans 92
chilavert      0     0     6.2

cruyff         1     0     6.1000000000000005

v.basten       1     1     6.1000000000000005

garrincha      1     1     6.4

zico           1     0     6.5

daglish        2     1     6.5

kempes         1     1     6.4

socrates       1     1     6.2

r.baggio       3     2     6.4

totti          2     3     6.5

g.weah         1     4     6.5

score 16 goal 14 number of fans 72
banks          0     0     6.1000000000000005

d.stifano      1     1     6.7

b.chalton      2     3     6.5

g.best         2     1     6.1000000000000005

kopa           1     1     6.4

vialli         3     0     6.4

canavaro       5     2     6.6000000000000005

mancini        4     3     6.5

trezeguet      0     6     6.1000000000000005

b.laudrup      1     2     6.4

vieri          3     3     6.4

score 21 goal 22 number of fans 80
neeskens from firenze to marsiglia
maldini from marsiglia to firenze
rijkaard from milano to turino
conti from turino to milano
baresi from genoa to tunisia
r.koeman from tunisia to genoa
daglish from venezia to bologna
d.stifano from bologna to venezia
###################################################################
###################################################################
####################new season###################################
######################################################################
######################################################################
2
team      round score goal  fan
turino    14    25    23    94
venezia   14    25    23    84
bologna   14    21    19    80
tunisia   14    18    19    83
marsiglia 14    17    20    86
genoa     14    17    14    65
firenze   14    16    18    75
milano    14    13    16    70
name           goal   team
kempes         6      venezia
papin          5      turino
desaily        5      marsiglia
d.stifano      5      venezia
platini        5      marsiglia
henry          5      turino
maradona       4      firenze
batistuta      4      firenze
stam           4      genoa
crespo         4      tunisia
name           assist team
stam           7      genoa
g.weah         6      venezia
raul           4      turino
kempes         4      venezia
bierhoff       4      milano
v.nistelrooy   4      tunisia
rijkaard       4      turino
eusebio        4      turino
matthaeus      3      marsiglia
h.shanchez     3      marsiglia
name           score  team
kempes         68      venezia
maradona       68      firenze
kaka           68      milano
m.laudrup      67      tunisia
papin          67      turino
nedved         66      marsiglia
batistuta      66      firenze
mancini        66      bologna
stam           66      genoa
deisler        66      genoa
player       goal assist score
yashin         0     0     6.0

beckenbauer    1     1     6.300000000000001

ronaldinho     3     1     6.5

baresi         0     3     6.2

tostao         1     1     6.5

rensenbrink    3     2     6.5

m.laudrup      2     2     6.7

crespo         4     1     6.6000000000000005

v.nistelrooy   1     4     6.4

lampard        1     2     6.300000000000001

pele           3     2     6.4

score 18 goal 19 number of fans 83
zenga          0     0     6.4

platini        5     2     6.4

nedved         2     2     6.6000000000000005

zidane         0     2     6.4

ballack        2     1     6.300000000000001

matthaeus      2     3     6.5

hagi           1     0     6.300000000000001

desaily        5     3     6.5

h.shanchez     2     3     6.4

neeskens       1     3     6.4

r.keane        0     1     6.1000000000000005

score 17 goal 20 number of fans 86
buffon         0     0     6.4

eusebio        1     4     6.5

papin          5     2     6.7

raul           3     4     6.4

g.muller       1     2     6.300000000000001

henry          5     0     6.4

careca         0     3     6.2

rijkaard       1     4     6.5

gascoigne      3     2     6.5

donadoni       2     2     6.5

cassano        2     0     6.300000000000001

score 25 goal 23 number of fans 94
banks          0     0     6.0

daglish        3     2     6.4

b.chalton      1     1     6.5

g.best         3     2     6.2

kopa           3     3     6.5

vialli         2     3     6.300000000000001

canavaro       3     2     6.5

mancini        1     2     6.6000000000000005

trezeguet      1     2     6.300000000000001

b.laudrup      1     0     6.300000000000001

vieri          1     2     6.2

score 21 goal 19 number of fans 80
kahn           0     0     6.2

cantona        2     2     6.300000000000001

ronaldo        2     2     6.300000000000001

conti          2     1     6.2

facchetti      3     0     6.6000000000000005

rivera         1     2     6.4

keegan         0     1     6.5

bierhoff       2     4     6.4

hurst          2     2     6.4

kaka           2     2     6.800000000000001

blanc          0     0     6.2

score 13 goal 16 number of fans 70
chilavert      0     0     6.300000000000001

cruyff         0     2     6.2

v.basten       1     2     6.300000000000001

garrincha      1     1     6.2

zico           1     3     6.4

d.stifano      5     1     6.5

kempes         6     4     6.800000000000001

socrates       2     2     6.5

r.baggio       2     1     6.4

totti          2     1     6.300000000000001

g.weah         3     6     6.5

score 25 goal 23 number of fans 84
schmeichel     0     0     6.4

maradona       4     3     6.800000000000001

beckham        1     3     6.300000000000001

klinsman       1     1     6.300000000000001

didi           0     2     6.1000000000000005

brehme         2     1     6.2

batistuta      4     2     6.6000000000000005

cabrini        0     0     6.0

p.rossi        2     1     6.300000000000001

maldini        1     2     6.300000000000001

bergkemp       3     3     6.300000000000001

score 16 goal 18 number of fans 75
zoff           0     0     6.1000000000000005

gullit         1     0     6.2

puskas         0     0     6.1000000000000005

b.moore        0     1     6.4

r.koeman       1     1     6.4

owen           3     0     6.5

p.falcao       2     0     6.5

stoichkov      1     0     6.1000000000000005

shevchenko     2     3     6.300000000000001

deisler        0     2     6.6000000000000005

stam           4     7     6.6000000000000005

score 17 goal 14 number of fans 65
lampard from tunisia to marsiglia
nedved from marsiglia to tunisia
g.muller from turino to bologna
trezeguet from bologna to turino
ronaldo from milano to venezia
v.basten from venezia to milano
bergkemp from firenze to genoa
deisler from genoa to firenze
###################################################################
###################################################################
####################new season###################################
######################################################################
######################################################################
2 turin win 2nd time
team      round score goal  fan
turino    14    25    23    94
venezia   14    25    23    84
bologna   14    21    19    80
tunisia   14    18    19    83
marsiglia 14    17    20    86
genoa     14    17    14    65
firenze   14    16    18    75
milano    14    13    16    70
name           goal   team
kempes         6      venezia
desaily        5      marsiglia
papin          5      turino
henry          5      turino
d.stifano      5      venezia
platini        5      marsiglia
crespo         4      tunisia
maradona       4      firenze
batistuta      4      firenze
stam           4      genoa
name           assist team
stam           7      genoa
g.weah         6      venezia
kempes         4      venezia
raul           4      turino
bierhoff       4      milano
rijkaard       4      turino
v.nistelrooy   4      tunisia
eusebio        4      turino
kopa           3      bologna
h.shanchez     3      marsiglia
name           score  team
kempes         68      venezia
maradona       68      firenze
kaka           68      milano
papin          67      turino
m.laudrup      67      tunisia
nedved         66      marsiglia
batistuta      66      firenze
mancini        66      bologna
stam           66      genoa
deisler        66      genoa
player       goal assist score
yashin         0     0     6.0

beckenbauer    1     1     6.300000000000001

ronaldinho     3     1     6.5

baresi         0     3     6.2

tostao         1     1     6.5

rensenbrink    3     2     6.5

m.laudrup      2     2     6.7

crespo         4     1     6.6000000000000005

v.nistelrooy   1     4     6.4

lampard        1     2     6.300000000000001

pele           3     2     6.4

score 18 goal 19 number of fans 83
zenga          0     0     6.4

platini        5     2     6.4

nedved         2     2     6.6000000000000005

zidane         0     2     6.4

ballack        2     1     6.300000000000001

matthaeus      2     3     6.5

hagi           1     0     6.300000000000001

desaily        5     3     6.5

h.shanchez     2     3     6.4

neeskens       1     3     6.4

r.keane        0     1     6.1000000000000005

score 17 goal 20 number of fans 86
buffon         0     0     6.4

eusebio        1     4     6.5

papin          5     2     6.7

raul           3     4     6.4

g.muller       1     2     6.300000000000001

henry          5     0     6.4

careca         0     3     6.2

rijkaard       1     4     6.5

gascoigne      3     2     6.5

donadoni       2     2     6.5

cassano        2     0     6.300000000000001

score 25 goal 23 number of fans 94
banks          0     0     6.0

daglish        3     2     6.4

b.chalton      1     1     6.5

g.best         3     2     6.2

kopa           3     3     6.5

vialli         2     3     6.300000000000001

canavaro       3     2     6.5

mancini        1     2     6.6000000000000005

trezeguet      1     2     6.300000000000001

b.laudrup      1     0     6.300000000000001

vieri          1     2     6.2

score 21 goal 19 number of fans 80
kahn           0     0     6.2

cantona        2     2     6.300000000000001

ronaldo        2     2     6.300000000000001

conti          2     1     6.2

facchetti      3     0     6.6000000000000005

rivera         1     2     6.4

keegan         0     1     6.5

bierhoff       2     4     6.4

hurst          2     2     6.4

kaka           2     2     6.800000000000001

blanc          0     0     6.2

score 13 goal 16 number of fans 70
chilavert      0     0     6.300000000000001

cruyff         0     2     6.2

v.basten       1     2     6.300000000000001

garrincha      1     1     6.2

zico           1     3     6.4

d.stifano      5     1     6.5

kempes         6     4     6.800000000000001

socrates       2     2     6.5

r.baggio       2     1     6.4

totti          2     1     6.300000000000001

g.weah         3     6     6.5

score 25 goal 23 number of fans 84
schmeichel     0     0     6.4

maradona       4     3     6.800000000000001

beckham        1     3     6.300000000000001

klinsman       1     1     6.300000000000001

didi           0     2     6.1000000000000005

brehme         2     1     6.2

batistuta      4     2     6.6000000000000005

cabrini        0     0     6.0

p.rossi        2     1     6.300000000000001

maldini        1     2     6.300000000000001

bergkemp       3     3     6.300000000000001

score 16 goal 18 number of fans 75
zoff           0     0     6.1000000000000005

gullit         1     0     6.2

puskas         0     0     6.1000000000000005

b.moore        0     1     6.4

r.koeman       1     1     6.4

owen           3     0     6.5

p.falcao       2     0     6.5

stoichkov      1     0     6.1000000000000005

shevchenko     2     3     6.300000000000001

deisler        0     2     6.6000000000000005

stam           4     7     6.6000000000000005

score 17 goal 14 number of fans 65
rensenbrink from tunisia to marsiglia
desaily from marsiglia to tunisia
gascoigne from turino to bologna
kopa from bologna to turino
kaka from milano to venezia
g.weah from venezia to milano
beckham from firenze to genoa
p.falcao from genoa to firenze
2
team      round score goal  fan
turino    14    25    23    94
venezia   14    25    23    84
bologna   14    21    19    80
tunisia   14    18    19    83
marsiglia 14    17    20    86
genoa     14    17    14    65
firenze   14    16    18    75
milano    14    13    16    70
name           goal   team
kempes         6      venezia
desaily        5      marsiglia
papin          5      turino
henry          5      turino
d.stifano      5      venezia
platini        5      marsiglia
crespo         4      tunisia
maradona       4      firenze
batistuta      4      firenze
stam           4      genoa
name           assist team
stam           7      genoa
g.weah         6      venezia
kempes         4      venezia
raul           4      turino
bierhoff       4      milano
rijkaard       4      turino
v.nistelrooy   4      tunisia
eusebio        4      turino
kopa           3      bologna
h.shanchez     3      marsiglia
name           score  team
kempes         68      venezia
maradona       68      firenze
kaka           68      milano
papin          67      turino
m.laudrup      67      tunisia
nedved         66      marsiglia
batistuta      66      firenze
mancini        66      bologna
stam           66      genoa
deisler        66      genoa
player       goal assist score
yashin         0     0     6.0

beckenbauer    1     1     6.300000000000001

ronaldinho     3     1     6.5

baresi         0     3     6.2

tostao         1     1     6.5

rensenbrink    3     2     6.5

m.laudrup      2     2     6.7

crespo         4     1     6.6000000000000005

v.nistelrooy   1     4     6.4

lampard        1     2     6.300000000000001

pele           3     2     6.4

score 18 goal 19 number of fans 83
zenga          0     0     6.4

platini        5     2     6.4

nedved         2     2     6.6000000000000005

zidane         0     2     6.4

ballack        2     1     6.300000000000001

matthaeus      2     3     6.5

hagi           1     0     6.300000000000001

desaily        5     3     6.5

h.shanchez     2     3     6.4

neeskens       1     3     6.4

r.keane        0     1     6.1000000000000005

score 17 goal 20 number of fans 86
buffon         0     0     6.4

eusebio        1     4     6.5

papin          5     2     6.7

raul           3     4     6.4

g.muller       1     2     6.300000000000001

henry          5     0     6.4

careca         0     3     6.2

rijkaard       1     4     6.5

gascoigne      3     2     6.5

donadoni       2     2     6.5

cassano        2     0     6.300000000000001

score 25 goal 23 number of fans 94
banks          0     0     6.0

daglish        3     2     6.4

b.chalton      1     1     6.5

g.best         3     2     6.2

kopa           3     3     6.5

vialli         2     3     6.300000000000001

canavaro       3     2     6.5

mancini        1     2     6.6000000000000005

trezeguet      1     2     6.300000000000001

b.laudrup      1     0     6.300000000000001

vieri          1     2     6.2

score 21 goal 19 number of fans 80
kahn           0     0     6.2

cantona        2     2     6.300000000000001

ronaldo        2     2     6.300000000000001

conti          2     1     6.2

facchetti      3     0     6.6000000000000005

rivera         1     2     6.4

keegan         0     1     6.5

bierhoff       2     4     6.4

hurst          2     2     6.4

kaka           2     2     6.800000000000001

blanc          0     0     6.2

score 13 goal 16 number of fans 70
chilavert      0     0     6.300000000000001

cruyff         0     2     6.2

v.basten       1     2     6.300000000000001

garrincha      1     1     6.2

zico           1     3     6.4

d.stifano      5     1     6.5

kempes         6     4     6.800000000000001

socrates       2     2     6.5

r.baggio       2     1     6.4

totti          2     1     6.300000000000001

g.weah         3     6     6.5

score 25 goal 23 number of fans 84
schmeichel     0     0     6.4

maradona       4     3     6.800000000000001

beckham        1     3     6.300000000000001

klinsman       1     1     6.300000000000001

didi           0     2     6.1000000000000005

brehme         2     1     6.2

batistuta      4     2     6.6000000000000005

cabrini        0     0     6.0

p.rossi        2     1     6.300000000000001

maldini        1     2     6.300000000000001

bergkemp       3     3     6.300000000000001

score 16 goal 18 number of fans 75
zoff           0     0     6.1000000000000005

gullit         1     0     6.2

puskas         0     0     6.1000000000000005

b.moore        0     1     6.4

r.koeman       1     1     6.4

owen           3     0     6.5

p.falcao       2     0     6.5

stoichkov      1     0     6.1000000000000005

shevchenko     2     3     6.300000000000001

deisler        0     2     6.6000000000000005

stam           4     7     6.6000000000000005

score 17 goal 14 number of fans 65
beckenbauer from tunisia to marsiglia
platini from marsiglia to tunisia
eusebio from turino to bologna
daglish from bologna to turino
bierhoff from milano to venezia
d.stifano from venezia to milano
maldini from firenze to genoa
puskas from genoa to firenze
########################################################################
###############################################################
#######################################################3
team      round score goal  fan
firenze   14    26    20    83
barcelona 14    20    22    83
milano    14    20    19    74
turino    14    20    17    84
venezia   14    19    13    74
marsiglia 14    17    20    80
bologna   14    17    15    72
genoa     14    15    13    60
name           goal   team
henry          4      turino
careca         4      turino
kopa           4      bologna
platini        4      barcelona
m.laudrup      4      barcelona
zidane         4      marsiglia
deisler        4      genoa
beckham        4      firenze
cantona        4      milano
ronaldinho     3      barcelona
name           assist team
g.best         6      bologna
r.keane        5      marsiglia
maradona       5      firenze
cantona        5      milano
matthaeus      5      marsiglia
m.laudrup      4      barcelona
baresi         4      barcelona
blanc          4      milano
trezeguet      3      bologna
v.nistelrooy   3      barcelona
name           score  team
cantona        68      milano
beckenbauer    68      marsiglia
shevchenko     68      genoa
henry          68      turino
trezeguet      67      bologna
papin          67      turino
platini        67      barcelona
r.keane        67      marsiglia
owen           67      genoa
raul           67      turino
player       goal assist score
buffon         0     0     6.0

daglish        1     2     6.2

papin          0     3     6.7

raul           3     1     6.7

g.muller       2     0     6.4

henry          4     2     6.800000000000001

careca         4     2     6.300000000000001

rijkaard       2     1     6.0

gascoigne      1     3     6.6000000000000005

donadoni       0     1     6.0

cassano        0     2     6.1000000000000005

score 20 goal 17 number of fans 84
chilavert      0     0     6.4

cruyff         0     1     6.2

v.basten       0     0     6.5

garrincha      0     0     6.300000000000001

zico           3     1     6.4

bierhoff       2     2     6.300000000000001

kempes         3     2     6.5

socrates       1     2     6.1000000000000005

r.baggio       1     1     6.300000000000001

totti          0     2     6.0

g.weah         3     2     6.6000000000000005

score 19 goal 13 number of fans 74
banks          0     0     6.0

eusebio        1     1     6.1000000000000005

b.chalton      0     0     6.0

g.best         1     6     6.6000000000000005

kopa           4     2     6.5

vialli         2     0     6.300000000000001

canavaro       0     1     6.4

mancini        1     0     6.5

trezeguet      2     3     6.7

b.laudrup      3     1     6.7

vieri          1     1     6.300000000000001

score 17 goal 15 number of fans 72
yashin         0     0     6.2

platini        4     2     6.7

ronaldinho     3     3     6.6000000000000005

baresi         1     4     6.5

tostao         3     1     6.5

rensenbrink    1     0     6.5

m.laudrup      4     4     6.5

crespo         1     2     6.300000000000001

v.nistelrooy   2     3     6.6000000000000005

lampard        1     2     6.0

pele           2     1     6.4

